title,company,location,field,education_level,salary_min,salary_max,salary_currency,job_type,deadline,url,source,scraped_at
Safety Officer,FPT Software,Phnom Penh,Engineering,Bachelor,700,1100,USD,Full-time,2026-04-08,https://www.bongthom.com/jobs/,Pelprek,2026-03-25T07:38:26.168369
Legal Assistant,Institute of Technology of Cambodia,Siem Reap,Legal,Bachelor,600,850,USD,Full-time,2026-06-20,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.168412
Food Security Analyst,Westview International School,Phnom Penh,Agriculture,Master,900,1900,USD,Full-time,2026-04-28,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.168428
Livestock Specialist,Sathapana Bank,Kandal,Agriculture,Bachelor,700,1000,USD,Full-time,2026-05-16,https://www.bongthom.com/jobs/,Pelprek,2026-03-25T07:38:26.168446
Production Supervisor,Care International,Takeo,Manufacturing,Bachelor,550,1150,USD,Part-time,2026-03-18,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.168465
Agribusiness Officer,Hattha Bank,Takeo,Agriculture,Bachelor,700,1300,USD,Part-time,2026-04-07,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.168483
EHS Officer,Sabay Digital,Prey Veng,Manufacturing,Bachelor,500,1000,USD,Contract,2026-04-01,https://www.bongthom.com/jobs/,KhmerOnlineJobs,2026-03-25T07:38:26.168501
Investment Analyst,Helen Keller Intl,Kandal,Finance / Banking,Master,900,2050,USD,Full-time,2026-03-10,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.168512
Industrial Engineer,FPT Software,Kandal,Manufacturing,Bachelor,700,1550,USD,Full-time,2026-05-15,https://www.bongthom.com/jobs/,Pelprek,2026-03-25T07:38:26.168522
Regulatory Affairs Officer,Prince Bank,Kampot,Legal,Bachelor,750,1800,USD,Full-time,2026-04-25,https://www.bongthom.com/jobs/,BongThom,2026-03-25T07:38:26.168533
Loan Officer,FedEx Cambodia,Siem Reap,Finance / Banking,Bachelor,450,900,USD,Part-time,2026-04-14,https://www.bongthom.com/jobs/,Pelprek,2026-03-25T07:38:26.168549
People & Culture Manager,Manulife Cambodia,Phnom Penh,HR / Admin,Master,1200,2450,USD,Contract,2026-05-28,https://www.bongthom.com/jobs/,BongThom,2026-03-25T07:38:26.168560
Logistics Coordinator,ABA Bank,Kandal,Manufacturing,Bachelor,700,1000,USD,Full-time,2026-04-11,https://www.bongthom.com/jobs/,Pelprek,2026-03-25T07:38:26.168569
Safety Officer,Oxfam Cambodia,Phnom Penh,Engineering,Bachelor,600,1350,USD,Full-time,2026-04-03,https://www.bongthom.com/jobs/,KhmerOnlineJobs,2026-03-25T07:38:26.168579
Executive Assistant,PwC Cambodia,Siem Reap,HR / Admin,Bachelor,550,1150,USD,Contract,2026-05-04,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.168589
Environmental Engineer,Habitat for Humanity,Phnom Penh,Engineering,Bachelor,700,1700,USD,Part-time,2026-05-14,https://www.bongthom.com/jobs/,Pelprek,2026-03-25T07:38:26.168599
Concierge,Ernst & Young,Kampot,Hospitality,College,450,1000,USD,Full-time,2026-05-05,https://www.bongthom.com/jobs/,KhmerOnlineJobs,2026-03-25T07:38:26.168615
Concierge,Doctors Without Borders,Siem Reap,Hospitality,College,350,800,USD,Full-time,2026-06-13,https://www.bongthom.com/jobs/,Pelprek,2026-03-25T07:38:26.168630
PR Manager,ACLEDA Bank,Phnom Penh,Marketing / Sales,Master,1000,2100,USD,Contract,2026-04-28,https://www.bongthom.com/jobs/,Pelprek,2026-03-25T07:38:26.168648
Housekeeper,Phnom Penh SEZ,Kandal,Hospitality,College,200,600,USD,Full-time,2026-05-28,https://www.bongthom.com/jobs/,BongThom,2026-03-25T07:38:26.168666
Procurement Officer,FPT Software,Takeo,Manufacturing,Bachelor,600,1550,USD,Full-time,2026-04-10,https://www.bongthom.com/jobs/,Pelprek,2026-03-25T07:38:26.168677
Legal Assistant,World Bank Cambodia,Siem Reap,Legal,Bachelor,600,1200,USD,Contract,2026-05-21,https://www.bongthom.com/jobs/,BongThom,2026-03-25T07:38:26.168694
AML Compliance Officer,LOLC Cambodia,Sihanoukville,Finance / Banking,Master,900,1500,USD,Full-time,2026-06-02,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.168709
Event Coordinator,Angkor Hospital,Kandal,Hospitality,Bachelor,800,1350,USD,Full-time,2026-03-07,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.168724
E-learning Developer,Baker McKenzie,Kampot,Education,Bachelor,550,1100,USD,Part-time,2026-06-15,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.168741
Epidemiologist,Cambodian ICT Center,Phnom Penh,Healthcare,Master,1200,2700,USD,Full-time,2026-06-19,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.168760
Guest Relations Officer,Anantara Angkor,Takeo,Hospitality,Bachelor,450,850,USD,Part-time,2026-04-18,https://www.bongthom.com/jobs/,BongThom,2026-03-25T07:38:26.168774
Finance Manager,Westview International School,Battambang,Finance / Banking,Master,1250,2450,USD,Contract,2026-03-11,https://www.bongthom.com/jobs/,BongThom,2026-03-25T07:38:26.168783
Livestock Specialist,Plan International,Kandal,Agriculture,Bachelor,600,1100,USD,Full-time,2026-03-05,https://www.bongthom.com/jobs/,BongThom,2026-03-25T07:38:26.168792
Medical Officer,Manulife Cambodia,Phnom Penh,Healthcare,Master,1300,2600,USD,Contract,2026-06-06,https://www.bongthom.com/jobs/,KhmerOnlineJobs,2026-03-25T07:38:26.168802
Content Creator,Camboplus MFI,Kampong Cham,Marketing / Sales,Bachelor,450,700,USD,Full-time,2026-05-09,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.168811
Marketing Analyst,Sabay Digital,Phnom Penh,Marketing / Sales,Bachelor,700,1550,USD,Full-time,2026-03-03,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.168821
QC Inspector,ANZ Royal Bank,Siem Reap,Manufacturing,Bachelor,500,950,USD,Part-time,2026-05-06,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.168830
Irrigation Engineer,Tetra Tech,Siem Reap,Agriculture,Bachelor,600,1350,USD,Full-time,2026-06-26,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.168839
Corporate Lawyer,Cogetel,Siem Reap,Legal,Master,1550,3700,USD,Full-time,2026-03-24,https://www.bongthom.com/jobs/,BongThom,2026-03-25T07:38:26.168848
Copywriter,Habitat for Humanity,Phnom Penh,Marketing / Sales,Bachelor,500,700,USD,Full-time,2026-04-27,https://www.bongthom.com/jobs/,Pelprek,2026-03-25T07:38:26.168858
Early Childhood Educator,Angkor Hospital,Sihanoukville,Education,Bachelor,250,880,USD,Full-time,2026-03-13,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.168868
Blockchain Developer,DHL Cambodia,Prey Veng,IT / Technology,Master,1100,2200,USD,Full-time,2026-03-10,https://www.bongthom.com/jobs/,BongThom,2026-03-25T07:38:26.168877
Cloud Architect,Nham24,Remote,IT / Technology,Master,1600,3200,USD,Full-time,2026-05-28,https://www.bongthom.com/jobs/,KhmerOnlineJobs,2026-03-25T07:38:26.168886
Head of Department,IFL University,Kandal,Education,Master,950,1950,USD,Full-time,2026-05-25,https://www.bongthom.com/jobs/,Khmer24,2026-03-25T07:38:26.168895
Contract Specialist,Sabay Digital,Siem Reap,Legal,Bachelor,1000,1900,USD,Contract,2026-04-02,https://www.bongthom.com/jobs/,Pelprek,2026-03-25T07:38:26.168904
Deputy Director,Vision Fund,Siem Reap,NGO / Development,Master,2050,4050,USD,Full-time,2026-03-19,https://www.bongthom.com/jobs/,CamHR,2026-03-25T07:38:26.168926
Sous Chef,Prince Bank,Phnom Penh,Hospitality,College,600,1100,USD,Full-time,2026-06-19,https://www.bongthom.com/jobs/,BongThom,2026-03-25T07:38:26.168935
